airport,pagerank
MRK,5.119927415383495E-4
CCR,5.089437507208187E-4
CEC,5.088186820312196E-4
TNC,5.082196081623331E-4
HIB,5.078443359553139E-4
HGR,5.049765099671049E-4
PUW,5.012259716156009E-4
LWS,5.006400652021381E-4
BJI,4.998809791791442E-4
HLG,4.990907025313355E-4
OWB,4.984147125186325E-4
PHF,4.983711442476316E-4
RDD,4.977431614423659E-4
BFD,4.972553748088663E-4
EWB,4.972110794112765E-4
CMX,4.93059353469485E-4
LYH,4.923674610841672E-4
ELV,4.913577241994105E-4
FSM,4.906128520166777E-4
PSE,4.905644168625038E-4
MQT,4.905198182930221E-4
GVL,4.887932427481941E-4
MCE,4.8414352468754377E-4
EWN,4.810205235735931E-4
LWB,4.7930255500584394E-4
ART,4.773186120405913E-4
GGE,4.6481410182616417E-4
LGD,4.6431013981730336E-4
PDT,4.6431013981730336E-4
HKY,4.630953783735914E-4
MVL,4.6196491126893426E-4
MTH,4.6008918709387696E-4
KKL,4.5985511483743525E-4
EAT,4.541812226118915E-4
MTN,4.513734788771439E-4
APN,4.4918718695867606E-4
OGD,4.4810418309880647E-4
EHM,4.4808493457786254E-4
AGC,4.4583439081899814E-4
KQA,4.4301744294026517E-4
CYS,4.4171281465281084E-4
LNS,4.403619482477632E-4
GTR,4.3993884701149335E-4
WRI,4.396990852672083E-4
TXK,4.3783919063306834E-4
BAF,4.360607715832957E-4
UGN,4.335828633580021E-4
TKF,4.3305246564759846E-4
FMY,4.3269611193514745E-4
TWA,4.319110119122518E-4
LGU,4.305864255367823E-4
JLN,4.286231459350615E-4
UT1,4.2839574672089565E-4
LUR,4.2759498822247445E-4
OR4,4.25919970298749E-4
BRD,4.2489509984216535E-4
PNE,4.2462549031395446E-4
INT,4.242541454382657E-4
EAU,4.2412928338935504E-4
LMT,4.237172673644565E-4
TRM,4.215778921440556E-4
EDF,4.2045955871935516E-4
TVF,4.1837749787507856E-4
RWI,4.180440164870354E-4
BTM,4.1740878670018186E-4
HLN,4.171062615714274E-4
PIH,4.1543969185946E-4
DHN,4.1534331446009044E-4
FOK,4.1504122550866827E-4
RUT,4.1424013904914955E-4
VUO,4.1402493558132815E-4
PGV,4.1390982326942524E-4
HOB,4.13848529866587E-4
SBY,4.136856431169175E-4
VDZ,4.1361308986913575E-4
OTH,4.135798313856094E-4
BGM,4.131698922747361E-4
RHI,4.1176666744945827E-4
CIU,4.1098950499350877E-4
CDC,4.0945199417331027E-4
FOD,4.0928438949716883E-4
IPL,4.0877008559620084E-4
GCC,4.078673767707385E-4
BFM,4.075454664143692E-4
PIR,4.0668561721233186E-4
PLN,4.065716988988997E-4
GDC,4.0642015816243324E-4
LCI,4.05391185205834E-4
PRC,4.048257579627977E-4
DIK,4.038557558627727E-4
DVL,4.0147664720289393E-4
FL7,3.963458883963155E-4
MXE,3.9342798091750533E-4
CVO,3.859171211538032E-4
MPB,3.858861873716459E-4
LUP,3.844803527996841E-4
N2C,3.8363301616926957E-4
RSN,3.822586105066788E-4
SIG,3.8046090594260164E-4
2AK,3.7872186597761074E-4
SLE,3.763181698162116E-4
RBG,3.744679030699131E-4
PYM,3.7301099861473263E-4
JZI,3.728727098415709E-4
TYR,3.7096470050827725E-4
FMN,3.682098807262E-4
FLO,3.6504084275094863E-4
RKS,3.6075561441143697E-4
1VA,3.601016708505606E-4
VCT,3.5870994209638845E-4
SHR,3.585205320246783E-4
IYK,3.5688456424677584E-4
LAW,3.561669809521039E-4
SKF,3.551436487275193E-4
GGW,3.544709123188942E-4
ALS,3.5382432789199327E-4
UKI,3.5326663730160334E-4
RLU,3.514037896236446E-4
BIG,3.514037896236446E-4
MHM,3.514037896236446E-4
A27,3.514037896236446E-4
AKB,3.5058387127636054E-4
APC,3.4734588069010444E-4
CLM,3.440925232898069E-4
BHB,3.4256466456560736E-4
INL,3.4194586372901677E-4
DBQ,3.411800472762064E-4
BIF,3.408240746248102E-4
JHM,3.4054148679406445E-4
PPG,3.4054148679406445E-4
ATO,3.404022328828241E-4
VEL,3.4028942806983475E-4
IAB,3.40203964947992E-4
CLU,3.399688720379843E-4
JMS,3.376116410029146E-4
PQI,3.3720325221412285E-4
HOT,3.371552058626421E-4
ELD,3.371552058626421E-4
HRO,3.371552058626421E-4
LCH,3.359154012997212E-4
CVN,3.358735768314353E-4
DOV,3.334245561382275E-4
CNY,3.3139192012692425E-4
LAR,3.3117888323520124E-4
OXC,3.311665355382617E-4
IWD,3.308785121270781E-4
MGW,3.306868503743189E-4
DUJ,3.306868503743189E-4
DDC,3.306399931219063E-4
CDR,3.3057542689634477E-4
ATY,3.303440612853063E-4
JST,3.302773167200484E-4
GYR,3.3012293161982265E-4
NYL,3.2979931228873207E-4
LBF,3.2967672852683266E-4
SLK,3.2914052161520026E-4
LVK,3.287378016282588E-4
SUA,3.285154773598781E-4
DQS,3.2819836712382616E-4
ABR,3.279575802604218E-4
MZJ,3.2745639859854236E-4
HWD,3.2598809022157065E-4
ILG,3.258846463413106E-4
UIN,3.2574206720761454E-4
BRL,3.2574206720761454E-4
SMO,3.2551905360908806E-4
OXR,3.2551905360908806E-4
